,0,1,2
06-05-2019,1.807990194,0.115267424,3.244628755
07-05-2019,1.873189066,0.109207894,2.499819285
08-05-2019,1.429694799,0.113695939,3.307066226
09-05-2019,1.378184494,0.114412919,2.858068859
10-05-2019,1.497653476,0.114257562,3.054502417
11-05-2019,1.128042334,0.113728806,2.20700461
12-05-2019,1.238299077,0.112684391,2.511439219
13-05-2019,1.484046916,0.113332661,2.258836926
14-05-2019,1.51504509,0.112848623,3.978781387
15-05-2019,1.220830107,0.113586749,2.491487804
16-05-2019,1.322238829,0.113589587,2.685105291
17-05-2019,1.520737322,0.113846401,3.047966367
18-05-2019,1.414650475,0.113568281,3.63657876
19-05-2019,1.175094328,0.11471239,2.763432975
20-05-2019,1.414745747,0.113520299,2.968632078
21-05-2019,1.726877972,0.11387839,3.775957846
22-05-2019,1.34569191,0.1129496,2.656051896
23-05-2019,1.753577465,0.114268434,2.756666806
24-05-2019,1.324108488,0.114074189,3.041880051
25-05-2019,1.14657283,0.113227608,3.064623598
26-05-2019,1.33597116,0.113696838,2.383531539
27-05-2019,1.396136047,0.11414871,2.71575561
28-05-2019,1.544060019,0.114039829,2.911263581
29-05-2019,1.456509912,0.115469423,2.433544671
30-05-2019,1.34333837,0.113674271,2.384004732
31-05-2019,1.545517851,0.117911167,2.255935598
01-06-2019,1.472981623,0.113932402,2.334717742
02-06-2019,1.543029279,0.113822899,3.646015011
03-06-2019,1.241902222,0.113219915,2.199259735
04-06-2019,1.332150686,0.11584722,2.883107587
05-06-2019,2.213212859,0.115660094,3.735082549
06-06-2019,2.077336005,0.115136525,3.265688272
07-06-2019,1.879664773,0.114553472,3.046612142
08-06-2019,1.607436973,0.114870925,3.212301107
09-06-2019,1.660525604,0.119474275,2.820690907
10-06-2019,1.650918575,0.113944462,2.957581211
11-06-2019,1.790575675,0.113029028,3.866263451
12-06-2019,1.693902584,0.113010911,3.583724773
13-06-2019,1.669617016,0.113900704,2.870921688
14-06-2019,2.08300167,0.115025921,4.65112555
15-06-2019,1.705163395,0.114549079,3.299895578
16-06-2019,1.534816142,0.112656937,2.964753084
17-06-2019,1.228598104,0.112423816,2.517260217
18-06-2019,1.602903089,0.114047547,2.998749297
19-06-2019,1.504740494,0.114225165,2.652655392
20-06-2019,1.519464841,0.113758493,3.006368946
21-06-2019,1.348111624,0.113020311,2.654390155
22-06-2019,1.606555304,0.11394,2.975250128
23-06-2019,1.148577441,0.11745901,2.434891975
24-06-2019,1.245679646,0.115050239,2.885695871
25-06-2019,1.23970009,0.115513208,3.047270577
26-06-2019,1.576326424,0.114919309,3.210948646
27-06-2019,1.154455486,0.115378636,2.860148228
28-06-2019,1.248039492,0.113393053,3.359994209
29-06-2019,1.977753518,0.115682487,5.005079137
30-06-2019,1.2237126,0.114542471,2.348473867
01-07-2019,1.366948334,0.115600987,2.551881318
02-07-2019,1.150110407,0.115568458,2.682392811
03-07-2019,1.26203728,0.11443852,2.901121062
04-07-2019,1.246036172,0.115143213,2.31016656
05-07-2019,1.074004711,0.114086032,2.138736851
06-07-2019,0.999031962,0.115699793,2.662061808
07-07-2019,1.137935041,0.114607777,2.643799646
08-07-2019,1.230326373,0.115520434,3.003797592
09-07-2019,1.088014022,0.114921827,2.166690232
10-07-2019,1.274280082,0.115179876,2.561211308
11-07-2019,0.863117862,0.115895841,2.467733075
12-07-2019,1.260436241,0.116336204,2.939755534
13-07-2019,1.442758381,0.115874161,3.598731545
14-07-2019,1.02023234,0.115028321,2.677601451
15-07-2019,1.038405936,0.11552216,2.726749581
16-07-2019,1.117292674,0.115058012,2.798588244
